"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:02:41.6768249 PM","Explorer.EXE","1060","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Read Control, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"7:02:41.6768469 PM","Explorer.EXE","1060","QuerySecurityFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","BUFFER OVERFLOW","Information: Label"
"7:02:41.6768571 PM","Explorer.EXE","1060","QuerySecurityFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Information: Label"
"7:02:41.6768705 PM","Explorer.EXE","1060","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:41.6769154 PM","Explorer.EXE","1060","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:41.6769696 PM","Explorer.EXE","1060","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
"7:02:41.6770078 PM","Explorer.EXE","1060","CreateFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:02:41.6770219 PM","Explorer.EXE","1060","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS","CreationTime: 12/20/2021 6:49:10 PM, LastAccessTime: 12/20/2021 7:02:38 PM, LastWriteTime: 12/20/2021 7:02:38 PM, ChangeTime: 12/20/2021 7:02:38 PM, FileAttributes: A"
"7:02:41.6770303 PM","Explorer.EXE","1060","CloseFile","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:41.6770434 PM","Explorer.EXE","1060","IRP_MJ_CLOSE","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","SUCCESS",""
"7:02:41.6770912 PM","Explorer.EXE","1060","QueryOpen","C:\Users\Radoslaw Motyka\Desktop\importantDocument.txt","FAST IO DISALLOWED",""
