"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"7:50:00.2989214 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:50:00.2989432 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 7:49:33 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: D"
"7:50:00.2989509 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"7:50:03.1606769 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:50:03.1606964 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 7:49:33 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: D"
"7:50:03.1607042 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"7:50:03.2511891 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:50:03.2512090 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 7:49:33 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: D"
"7:50:03.2512169 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"7:50:05.0282126 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:50:05.0282315 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 7:49:33 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: D"
"7:50:05.0282391 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"7:50:25.4038557 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:50:25.4038796 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 7:49:33 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: D"
"7:50:25.4038881 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"7:52:05.2832897 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"7:52:05.2833077 PM","Explorer.EXE","4732","QueryBasicInformationFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","CreationTime: 12/6/2021 4:20:11 PM, LastAccessTime: 12/9/2021 7:49:33 PM, LastWriteTime: 12/9/2021 4:30:34 PM, ChangeTime: 12/9/2021 4:30:34 PM, FileAttributes: D"
"7:52:05.2833152 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"7:52:05.7013642 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"7:52:05.7013948 PM","Explorer.EXE","4732","CloseFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS",""
"7:52:05.7059345 PM","Explorer.EXE","4732","CreateFile","C:\Users\Radoslaw Motyka\inz tests","SUCCESS","Desired Access: Read Data/List Directory, Read Attributes, Synchronize, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
